Vehicle_ID,Speed_mps,Speed_kmph,Position_X,Position_Y,Waiting_Time_sec
36225_356_0,17.14,61.72,11686.8,13688.2,0.0
36228_356_0,0.02,0.08,17012.84,13909.45,2.0
36229_356_0,10.99,39.55,14482.93,9541.68,0.0
36234_356_0,4.68,16.86,10197.29,23093.06,0.0
36237_356_0,13.99,50.35,18582.09,18045.0,0.0
36240_356_0,11.11,39.99,12589.97,14533.18,0.0
36244_356_0,28.12,101.24,19357.89,11013.01,0.0
36245_356_0,8.58,30.88,11006.26,15322.91,0.0
36251_356_0,24.41,87.87,6278.41,13408.33,0.0
36255_356_0,26.99,97.15,20874.08,10476.83,0.0
36257_356_0,12.2,43.91,18969.46,15527.1,0.0
36258_356_0,27.25,98.09,19946.36,10640.49,0.0
36267_356_0,11.79,42.44,15944.95,11989.88,0.0
36268_356_0,0.0,0.0,12866.42,13127.38,3.0
36272_356_0,12.02,43.26,11643.67,13884.12,0.0
36274_356_0,17.77,63.96,17683.71,18416.75,0.0
36295_356_0,14.14,50.89,17208.44,16359.12,0.0
36299_356_0,12.55,45.19,15179.74,14213.1,0.0
36301_356_0,24.59,88.53,22478.07,9649.44,0.0
36302_356_0,12.16,43.79,15903.33,13881.03,0.0
36304_356_0,0.0,0.0,19864.45,17280.48,15.0
36306_356_0,19.56,70.42,17774.7,15032.3,0.0
36316_356_0,11.17,40.22,6778.38,17785.64,0.0
36328_356_0,13.08,47.08,11557.86,20296.81,0.0
36332_356_0,13.31,47.92,17500.79,17914.19,0.0
36354_356_0,16.76,60.33,12700.11,8281.26,0.0
36355_356_0,6.16,22.19,20893.81,17476.84,0.0
36357_356_0,3.98,14.32,15778.85,16770.79,0.0
36364_356_0,28.3,101.87,14657.27,6910.17,0.0
36366_356_0,13.71,49.36,17017.4,13876.96,0.0
36370_356_0,0.0,0.0,19844.01,17274.77,22.0
36378_356_0,17.28,62.19,21187.63,12399.18,0.0
36384_356_0,22.45,80.82,11603.65,17172.18,0.0
36390_356_0,0.16,0.58,20518.35,17545.66,0.0
36392_356_0,0.05,0.2,20750.04,8150.73,2.0
36394_356_0,0.0,0.01,16992.09,11006.5,3.0
36395_356_0,12.65,45.55,20518.09,17436.57,0.0
36399_356_0,28.87,103.95,11707.76,17004.79,0.0
36404_356_0,0.0,0.02,18837.36,18806.79,3.0
36405_356_0,13.02,46.86,16937.58,12838.82,0.0
36408_356_0,19.87,71.55,15502.98,15630.14,0.0
36409_356_0,2.65,9.52,14105.22,16522.47,0.0
36416_356_0,27.85,100.26,20835.02,10479.47,0.0
36430_356_0,36.84,132.63,12773.2,8224.34,0.0
36434_356_0,13.47,48.49,12918.34,14307.45,0.0
36439_356_0,0.0,0.0,17214.66,8034.74,12.0
36445_356_0,14.07,50.64,14295.06,13840.41,0.0
36450_356_0,12.17,43.8,9177.55,14115.57,0.0
36462_356_0,37.08,133.48,16428.65,10031.17,0.0
36470_356_0,11.28,40.62,20716.19,7527.83,0.0
36471_356_0,11.08,39.88,15530.52,10200.63,0.0
36482_356_0,0.0,0.0,21171.34,10333.33,21.0
36486_356_0,11.71,42.15,11312.47,24269.11,0.0
36491_356_0,22.36,80.5,18261.39,12083.76,0.0
36492_356_0,0.3,1.09,21228.29,10276.77,0.0
36494_356_0,0.0,0.0,11464.99,24441.89,5.0
36498_356_0,0.0,0.0,19849.12,17276.2,20.0
36503_356_0,0.0,0.0,13974.0,16001.51,5.0
36509_356_0,13.75,49.49,18456.91,15064.21,0.0
36512_356_0,12.07,43.44,8407.46,15204.95,0.0
36515_356_0,13.44,48.4,18500.6,15185.42,0.0
36517_356_0,0.03,0.12,8684.43,14151.6,1.0
36522_356_0,0.05,0.18,15050.41,14213.8,1.0
36527_356_0,0.33,1.18,21282.75,10178.09,0.0
36535_356_0,4.67,16.8,14220.76,11411.78,0.0
36537_356_0,0.98,3.53,21157.99,10351.19,0.0
36539_356_0,14.93,53.74,9380.47,20722.62,0.0
36545_356_0,25.27,90.96,23145.59,8943.3,0.0
36559_356_0,24.9,89.64,19075.32,11199.99,0.0
36568_356_0,14.52,52.26,14542.39,12551.77,0.0
36570_356_0,12.77,45.97,21327.73,17902.51,0.0
36572_356_0,11.29,40.65,9235.0,24281.44,0.0
36575_356_0,1.86,6.7,20747.05,8087.05,0.0
36577_356_0,30.85,111.05,19316.56,16924.13,0.0
36583_356_0,14.24,51.27,16947.59,16802.21,0.0
36588_356_0,0.39,1.41,17072.71,16001.15,0.0
36596_356_0,25.3,91.09,20434.62,11955.49,0.0
36604_356_0,8.26,29.74,11606.71,13954.9,0.0
36612_356_0,10.36,37.29,14404.42,10211.85,0.0
36617_356_0,0.2,0.71,10315.08,20889.81,0.0
36618_356_0,24.57,88.45,11388.11,17771.76,0.0
36630_356_0,0.0,0.0,21196.59,10310.23,11.0
36634_356_0,29.46,106.04,17985.0,20057.23,0.0
36638_356_0,28.67,103.22,16370.8,9921.57,0.0
36651_356_0,14.64,52.71,19126.48,17190.07,0.0
36652_356_0,13.1,47.16,14510.51,9370.52,0.0
36655_356_0,5.98,21.54,16315.6,9228.86,0.0
36656_356_0,8.28,29.8,14533.42,9184.2,0.0
36657_356_0,23.86,85.89,15959.48,15105.72,0.0
36660_356_0,11.33,40.79,9323.8,20057.12,0.0
36669_356_0,13.64,49.11,11231.36,13978.86,0.0
36673_356_0,24.71,88.97,22783.74,9379.86,0.0
36675_356_0,11.07,39.86,19417.18,17287.17,0.0
36690_356_0,11.38,40.95,6808.04,18424.73,0.0
36692_356_0,17.59,63.31,21450.83,10080.83,0.0
36693_356_0,24.12,86.83,23513.88,5935.76,0.0
36722_356_0,6.0,21.6,8783.54,14063.17,0.0
36723_356_0,12.53,45.09,7595.57,15769.42,0.0
36727_356_0,13.65,49.15,16507.15,14202.88,0.0
36740_357_0,13.15,47.34,8168.39,21627.36,0.0
36743_357_0,0.0,0.0,18708.23,14720.8,9.0
36746_357_0,24.25,87.3,21224.55,10445.38,0.0
36747_357_0,11.59,41.72,8900.91,22194.24,0.0
36752_357_0,23.04,82.95,11671.65,22625.7,0.0
36755_357_0,10.5,37.81,17472.66,17996.42,0.0
36756_357_0,32.48,116.94,8982.41,10878.94,0.0
36757_357_0,13.42,48.3,16586.99,12647.01,0.0
36759_357_0,0.01,0.03,14094.14,16495.73,1.0
36764_357_0,3.76,13.53,17008.75,10988.69,0.0
36767_357_0,18.97,68.29,11881.17,13113.64,0.0
36769_357_0,13.21,47.54,10057.29,15958.51,0.0
36771_357_0,20.48,73.71,13935.71,19735.79,0.0
36776_357_0,9.86,35.49,13024.13,12630.76,0.0
36778_357_0,13.11,47.18,16152.98,17013.97,0.0
36783_357_0,0.01,0.02,15771.42,9865.02,1.0
36784_357_0,19.71,70.95,11950.66,12864.32,0.0
36788_357_0,10.28,37.0,6638.0,18337.23,0.0
36792_357_0,17.99,64.78,11961.42,12833.08,0.0
36794_357_0,9.02,32.46,14145.31,16829.25,0.0
36795_357_0,12.5,45.02,11760.52,14349.27,0.0
36797_357_0,17.85,64.26,11544.11,24350.65,0.0
36808_357_0,15.63,56.25,8597.35,21544.25,0.0
36809_357_0,5.07,18.24,23566.64,5165.42,0.0
36816_357_0,13.34,48.03,13696.18,13686.31,0.0
36821_357_0,18.4,66.23,17155.51,18928.23,0.0
36827_357_0,1.64,5.9,18655.01,18596.84,0.0
36829_357_0,13.39,48.19,18640.7,14811.53,0.0
36830_357_0,14.01,50.44,12334.84,15662.63,0.0
36840_357_0,23.08,83.07,23332.46,8528.61,0.0
36848_357_0,27.27,98.19,10968.44,9370.21,0.0
36860_357_0,15.16,54.58,17018.51,12519.41,0.0
36861_357_0,0.0,0.0,12775.43,13300.94,11.0
36862_357_0,0.02,0.07,21221.87,10287.11,3.0
36866_357_0,13.47,48.48,24336.73,4980.89,0.0
36869_357_0,30.32,109.14,21066.33,10461.57,0.0
36873_357_0,11.7,42.13,19422.64,17266.22,0.0
36874_357_0,7.84,28.22,13044.95,10375.57,0.0
36881_357_0,26.29,94.66,20597.67,13180.73,0.0
36883_357_0,16.04,57.75,11933.26,16511.92,0.0
36888_357_0,0.01,0.03,8626.34,21691.21,5.0
36889_357_0,8.72,31.38,10165.81,23351.13,0.0
36890_357_0,11.72,42.19,23109.15,4158.31,0.0
36892_357_0,11.63,41.87,11167.52,14718.74,0.0
36894_357_0,0.21,0.77,21234.83,10275.26,0.0
36896_357_0,26.6,95.76,20453.46,10489.84,0.0
36898_357_0,19.46,70.06,10952.41,9428.93,0.0
36906_357_0,14.37,51.72,14380.16,10311.36,0.0
36908_357_0,15.07,54.24,17014.44,8422.57,0.0
36917_357_0,12.45,44.81,18100.51,15071.18,0.0
36918_357_0,25.13,90.49,10805.52,18991.28,0.0
36925_357_0,20.79,74.85,20539.32,15478.67,0.0
36926_357_0,10.39,37.42,18041.48,18019.28,0.0
36927_357_0,2.58,9.3,14857.99,18889.28,0.0
36932_357_0,0.0,0.0,12767.75,13294.08,7.0
36939_357_0,23.53,84.71,16299.76,14832.72,0.0
36948_357_0,27.26,98.15,9268.97,21052.54,0.0
36952_357_0,13.51,48.64,7984.33,17641.97,0.0
36954_357_0,12.22,44.01,21237.28,14618.38,0.0
36955_357_0,0.0,0.0,19469.07,17170.72,18.0
36959_357_0,21.01,75.62,11540.32,17285.22,0.0
36966_357_0,10.01,36.03,23808.4,11827.57,0.0
36969_357_0,15.66,56.36,12667.69,8224.57,0.0
36982_357_0,3.38,12.17,12867.84,14744.61,0.0
36984_357_0,10.76,38.75,18441.68,12002.89,0.0
36990_357_0,0.0,0.0,11668.95,13954.75,11.0
37008_357_0,18.53,66.71,14625.95,7870.86,0.0
37009_357_0,9.48,34.13,15383.28,17860.59,0.0
37010_357_0,30.35,109.25,19855.38,10695.04,0.0
37011_357_0,0.06,0.23,12215.19,15324.03,1.0
37013_357_0,12.69,45.67,11167.0,13976.99,0.0
37015_357_0,0.0,0.0,17501.58,17166.11,15.0
37024_357_0,19.28,69.4,11768.99,14379.95,0.0
37026_357_0,16.83,60.6,12536.81,20730.86,0.0
37030_357_0,0.0,0.0,19139.17,17098.76,22.0
37032_357_0,16.34,58.84,10460.6,20979.7,0.0
37034_357_0,13.02,46.86,18193.93,14176.1,0.0
37041_357_0,21.67,78.02,12044.84,16275.25,0.0
37043_357_0,11.68,42.07,18261.09,15103.13,0.0
37048_357_0,12.98,46.73,6783.57,14240.42,0.0
37056_357_0,12.06,43.43,18482.64,15029.79,0.0
37064_357_0,16.02,57.67,14583.32,8699.23,0.0
37070_357_0,15.98,57.52,21233.67,10546.1,0.0
37076_357_0,13.39,48.21,16008.97,9587.35,0.0
37077_357_0,12.82,46.16,15616.96,17584.07,0.0
37079_357_0,0.0,0.0,14915.3,13738.37,5.0
37080_357_0,2.82,10.16,8531.44,21907.64,0.0
37084_357_0,0.79,2.85,19418.28,17159.23,0.0
37086_357_0,13.86,49.88,12261.9,14310.49,0.0
37088_357_0,14.77,53.16,9500.76,14090.36,0.0
37089_357_0,6.46,23.26,13756.59,16390.3,0.0
37096_357_0,23.94,86.19,11731.53,22674.22,0.0
37097_357_0,20.74,74.68,14043.8,19622.98,0.0
37099_357_0,25.88,93.18,11501.35,17378.11,0.0
37100_357_0,11.66,41.96,8669.57,15244.08,0.0
37101_357_0,8.45,30.43,11915.01,15520.51,0.0
37104_357_0,12.55,45.17,18333.63,16827.07,0.0
37108_357_0,10.14,36.5,12617.61,13163.95,0.0
37114_357_0,0.0,0.0,13911.04,12274.97,8.0
37119_357_0,37.86,136.29,23707.37,7931.88,0.0
37120_357_0,13.93,50.14,12483.79,13623.18,0.0
37121_357_0,18.63,67.08,11808.53,20900.92,0.0
37125_357_0,29.82,107.34,8607.98,21904.92,0.0
37128_357_0,0.0,0.0,21159.88,10348.57,24.0
37141_357_0,14.07,50.65,18206.11,18145.47,0.0
37142_357_0,25.97,93.48,10556.84,19344.17,0.0
37144_357_0,0.0,0.0,21209.22,10298.68,6.0
37148_357_0,13.46,48.46,10007.9,13322.85,0.0
37151_357_0,9.9,35.63,16002.35,11939.16,0.0
37152_357_0,19.84,71.44,16694.9,14899.97,0.0
37154_357_0,0.0,0.0,16087.55,7963.84,20.0
37155_357_0,16.52,59.47,9523.29,20697.67,0.0
37160_357_0,31.7,114.13,22812.6,9342.82,0.0
37166_357_0,11.83,42.6,14372.02,14125.61,0.0
37173_357_0,5.06,18.2,19140.66,14167.57,0.0
37176_357_0,5.78,20.82,21147.94,10365.72,0.0
37182_357_0,12.38,44.58,11336.82,19718.94,0.0
37184_357_0,2.11,7.61,22964.19,7521.76,0.0
37188_357_0,12.05,43.37,18222.08,14180.79,0.0
37191_357_0,21.78,78.4,14654.11,6985.25,0.0
37203_357_0,13.07,47.04,11436.59,12549.99,0.0
37205_357_0,15.94,57.4,8751.61,21649.1,0.0
37212_357_0,11.35,40.85,14789.76,16570.12,0.0
37214_357_0,13.75,49.52,17050.99,11154.58,0.0
37215_357_0,29.39,105.8,11979.65,22848.02,0.0
37216_357_0,9.56,34.41,19158.49,14171.81,0.0
37223_357_0,17.24,62.06,11773.02,6000.46,0.0
37225_357_0,26.95,97.03,21847.48,10200.77,0.0
37226_357_0,24.63,88.68,23163.25,8913.25,0.0
37227_357_0,4.63,16.66,13604.56,12509.11,0.0
37230_357_0,0.0,0.0,14533.73,9209.04,8.0
37231_357_0,55.39,199.4,7690.9,22982.63,0.0
37234_357_0,15.56,56.02,9398.71,12718.05,0.0
37236_357_0,8.02,28.88,14887.22,5848.69,0.0
37237_357_0,13.58,48.87,12501.0,15500.73,0.0
37244_357_0,23.51,84.64,23407.9,8147.61,0.0
37245_357_0,1.21,4.34,16997.04,11001.27,0.0
37249_357_0,13.23,47.61,16939.87,11062.19,0.0
37255_357_0,10.93,39.35,10939.96,12253.64,0.0
37258_357_0,0.03,0.11,15866.88,14724.81,1.0
37262_357_0,0.0,0.0,12934.7,14832.38,22.0
37264_357_0,6.68,24.05,9612.48,20201.27,0.0
37265_357_0,21.78,78.41,17972.46,12267.85,0.0
37266_357_0,12.31,44.32,6968.77,14230.39,0.0
37269_357_0,12.24,44.07,11403.52,14562.6,0.0
37270_357_0,15.18,54.64,9435.62,23812.27,0.0
37271_357_0,6.63,23.88,14000.44,15959.98,0.0
37275_357_0,9.61,34.59,13571.39,15251.3,0.0
37276_357_0,16.79,60.43,9730.17,22821.97,0.0
37293_357_0,3.89,13.99,17905.16,17637.59,0.0
37298_357_0,15.67,56.4,5806.97,25602.92,0.0
37300_357_0,7.81,28.12,13530.18,14579.97,0.0
37302_357_0,13.17,47.41,23683.4,6654.12,0.0
37307_357_0,0.0,0.0,13979.42,15994.06,11.0
37310_357_0,12.6,45.37,23117.99,4139.68,0.0
37311_357_0,17.13,61.68,18713.77,11540.34,0.0
37317_357_0,0.0,0.0,16914.71,20696.86,13.0
37321_357_0,38.12,137.22,16041.14,9538.64,0.0
37322_357_0,11.81,42.52,13115.46,12815.56,0.0
37327_357_0,12.5,45.01,15391.84,13637.43,0.0
37332_357_0,12.02,43.26,20612.1,14462.33,0.0
37336_357_0,14.05,50.59,13822.7,16148.85,0.0
37341_357_0,14.68,52.84,14384.15,10261.87,0.0
37342_357_0,13.29,47.84,12791.09,14438.75,0.0
37352_357_0,11.33,40.8,14403.46,10147.67,0.0
37353_357_0,11.75,42.29,15423.95,14201.57,0.0
37356_357_0,14.98,53.91,18219.72,12128.01,0.0
37361_357_0,17.39,62.62,9741.53,22841.73,0.0
37362_357_0,11.96,43.06,14815.37,13253.42,0.0
37363_357_0,11.64,41.92,8730.09,13620.68,0.0
37367_357_0,14.19,51.09,16750.87,11794.26,0.0
37368_357_0,35.15,126.55,14557.04,8623.05,0.0
37369_357_0,7.66,27.57,19127.8,9724.28,0.0
37372_357_0,8.4,30.25,13155.57,14973.2,0.0
37381_357_0,15.19,54.69,20189.39,5847.89,0.0
37386_357_0,20.83,74.97,18017.71,12228.83,0.0
37397_357_0,0.0,0.0,14019.04,15856.86,4.0
37398_357_0,13.32,47.97,20218.37,6366.27,0.0
37404_357_0,7.13,25.65,14139.73,13218.23,0.0
37405_357_0,13.03,46.89,19010.3,16121.13,0.0
37408_357_0,3.41,12.28,17508.86,17151.23,0.0
37419_357_0,0.0,0.0,12247.86,13655.53,11.0
37423_357_0,11.72,42.18,11972.14,15480.04,0.0
37425_357_0,10.76,38.75,14178.54,11578.77,0.0
37426_357_0,0.0,0.0,14165.49,11635.45,4.0
37430_357_0,12.46,44.86,11536.72,13966.1,0.0
37433_357_0,14.09,50.73,13036.47,13121.98,0.0
37443_357_0,0.2,0.73,20745.48,8066.09,0.0
37444_357_0,14.55,52.39,9914.11,16435.02,0.0
37445_357_0,13.4,48.23,10649.05,14259.11,0.0
37446_357_0,11.47,41.29,7876.49,17561.24,0.0
37447_357_0,10.93,39.33,17950.54,17711.3,0.0
37448_357_0,13.45,48.43,12859.53,14337.69,0.0
37450_357_0,0.0,0.0,8665.61,21674.02,18.0
37451_357_0,5.4,19.43,11697.72,13904.81,0.0
37458_358_0,13.61,48.98,17294.73,15879.0,0.0
37461_358_0,10.86,39.09,21582.22,16946.09,0.0
37464_358_0,12.07,43.45,14145.22,16807.56,0.0
37467_358_0,15.87,57.12,8132.91,12656.25,0.0
37472_358_0,7.28,26.19,17930.73,17858.84,0.0
37483_358_0,0.06,0.22,14300.67,14621.54,1.0
37489_358_0,10.75,38.71,13592.88,20207.6,0.0
37491_358_0,11.35,40.85,16513.02,14833.74,0.0
37493_358_0,24.55,88.4,14657.41,6347.86,0.0
37494_358_0,13.79,49.63,11124.65,17860.51,0.0
37496_358_0,1.32,4.77,20747.57,8093.92,0.0
37502_358_0,13.65,49.12,7689.12,17104.22,0.0
37507_358_0,11.79,42.44,7595.92,19988.35,0.0
37509_358_0,11.65,41.95,11290.26,11519.25,0.0
37510_358_0,28.41,102.29,9048.54,21337.86,0.0
37511_358_0,10.58,38.1,6595.02,15527.53,0.0
37516_358_0,22.29,80.24,16089.49,14929.41,0.0
37521_358_0,12.06,43.43,21159.91,14716.07,0.0
37524_358_0,31.64,113.89,10152.24,19921.23,0.0
37525_358_0,0.36,1.29,20292.38,17386.78,0.0
37535_358_0,11.94,42.99,14005.13,15941.91,0.0
37537_358_0,11.15,40.13,10901.47,15023.37,0.0
37538_358_0,0.0,0.0,9824.78,15057.03,6.0
37539_358_0,26.05,93.78,6582.87,16843.33,0.0
37544_358_0,5.87,21.13,6947.08,13592.64,0.0
37546_358_0,9.41,33.87,12342.59,15643.72,0.0
37549_358_0,7.96,28.66,15883.15,17658.67,0.0
37552_358_0,0.0,0.02,17462.78,14908.34,2.0
37555_358_0,13.6,48.96,12519.4,17158.29,0.0
37557_358_0,0.01,0.04,10999.11,15316.06,5.0
37558_358_0,0.0,0.0,13577.14,12484.67,9.0
37561_358_0,0.08,0.3,13970.69,16013.85,1.0
37566_358_0,5.22,18.8,21385.26,9731.98,0.0
37567_358_0,0.0,0.02,13818.39,15373.59,3.0
37577_358_0,1.54,5.54,13198.41,12779.76,0.0
37579_358_0,12.39,44.61,16047.71,14942.6,0.0
37584_358_0,0.0,0.0,19863.56,17283.66,13.0
37595_358_0,12.37,44.54,16801.85,19582.05,0.0
37601_358_0,13.73,49.43,11640.56,13979.51,0.0
37605_358_0,54.45,196.01,7417.75,23272.24,0.0
37607_358_0,8.54,30.73,13178.01,13858.04,0.0
37608_358_0,25.5,91.8,8858.66,21609.23,0.0
37613_358_0,4.72,17.0,20618.6,8375.47,0.0
37616_358_0,14.22,51.2,19175.79,17384.45,0.0
37620_358_0,11.7,42.12,13739.54,15336.53,0.0
37635_358_0,0.0,0.0,20225.67,17367.9,20.0
37637_358_0,14.13,50.87,14060.39,16069.98,0.0
37639_358_0,19.21,69.16,15823.47,15317.88,0.0
37643_358_0,0.0,0.0,11750.08,14336.33,20.0
37644_358_0,11.19,40.28,9726.98,16595.17,0.0
37649_358_0,14.11,50.79,19272.65,19791.91,0.0
37651_358_0,7.08,25.48,14012.95,14984.42,0.0
37657_358_0,13.01,46.84,14908.5,18541.53,0.0
37658_358_0,6.76,24.35,9893.61,11975.02,0.0
37663_358_0,12.09,43.53,12296.72,12128.26,0.0
37665_358_0,12.77,45.98,19731.42,9309.87,0.0
37666_358_0,9.12,32.83,6170.09,14209.07,0.0
37672_358_0,7.59,27.32,17215.89,19739.39,0.0
37674_358_0,7.99,28.76,11925.96,15511.99,0.0
37677_358_0,14.01,50.43,16991.81,16779.17,0.0
37678_358_0,15.36,55.29,18054.33,13460.43,0.0
37679_358_0,12.21,43.96,11446.51,14529.52,0.0
37681_358_0,12.09,43.53,10672.45,19855.72,0.0
37684_358_0,7.06,25.42,22608.95,7537.93,0.0
37688_358_0,12.77,45.97,19813.52,17428.88,0.0
37694_358_0,13.27,47.77,8588.36,21521.05,0.0
37702_358_0,7.27,26.16,5678.37,14589.19,0.0
37703_358_0,17.5,62.99,12645.79,9251.33,0.0
37707_358_0,11.07,39.86,11886.57,10961.41,0.0
37709_358_0,14.71,52.96,12720.64,14579.23,0.0
37710_358_0,13.89,50.0,17581.81,16111.5,0.0
37711_358_0,0.0,0.0,9462.73,22590.64,57.0
37716_358_0,11.63,41.86,14087.63,15245.8,0.0
37717_358_0,14.31,51.5,11205.87,13980.05,0.0
37720_358_0,55.35,199.25,7756.2,22911.84,0.0
37722_358_0,0.0,0.0,20296.74,6637.51,13.0
37729_358_0,11.0,39.62,21531.56,18085.94,0.0
37730_358_0,27.64,99.52,14260.75,8093.67,0.0
37735_358_0,10.09,36.33,18716.38,14178.84,0.0
37737_358_0,12.24,44.06,18461.33,11298.07,0.0
37742_358_0,0.0,0.02,10045.89,12842.77,3.0
37743_358_0,0.25,0.91,11416.77,15880.7,0.0
37745_358_0,0.0,0.0,17997.24,15600.21,5.0
37748_358_0,0.0,0.0,17228.75,8025.45,8.0
37754_358_0,15.62,56.24,9451.1,20792.46,0.0
37760_358_0,25.28,90.99,23427.84,8108.47,0.0
37762_358_0,24.41,87.87,10924.29,18800.06,0.0
37770_358_0,12.99,46.75,19033.4,16936.31,0.0
37771_358_0,0.0,0.01,10854.54,13195.94,3.0
